 name                                     non-pgo-timings/merged-timings.txt ns/iter  pgo-timings-cargo-fixed/merged-timings.txt ns/iter    diff ns/iter   diff %  speedup 
 sherlock::before_after_holmes            830,237,933                                 830,382,666                                                144,733    0.02%   x 1.00 
 sherlock::before_holmes                  48,427,533                                  45,817,666                                              -2,609,867   -5.39%   x 1.06 
 sherlock::everything_greedy              1,592,308,133                               1,601,760,666                                            9,452,533    0.59%   x 0.99 
 sherlock::everything_greedy_nl           722,094,333                                 754,678,266                                             32,583,933    4.51%   x 0.96 
 sherlock::holmes_cochar_watson           90,840,733                                  90,573,000                                                -267,733   -0.29%   x 1.00 
 sherlock::holmes_coword_watson           423,190,733                                 425,429,000                                              2,238,267    0.53%   x 0.99 
 sherlock::ing_suffix                     298,565,200                                 299,376,133                                                810,933    0.27%   x 1.00 
 sherlock::ing_suffix_limited_space       947,296,200                                 949,795,066                                              2,498,866    0.26%   x 1.00 
 sherlock::letters                        16,504,706,000                              16,130,675,666                                        -374,030,334   -2.27%   x 1.02 
 sherlock::letters_lower                  16,132,591,666                              15,729,101,133                                        -403,490,533   -2.50%   x 1.03 
 sherlock::letters_upper                  1,458,560,266                               1,434,967,400                                          -23,592,866   -1.62%   x 1.02 
 sherlock::line_boundary_sherlock_holmes  812,715,933                                 818,791,533                                              6,075,600    0.75%   x 0.99 
 sherlock::name_alt1                      26,095,133                                  22,686,400                                              -3,408,733  -13.06%   x 1.15 
 sherlock::name_alt2                      66,647,533                                  65,601,666                                              -1,045,867   -1.57%   x 1.02 
 sherlock::name_alt3                      76,513,466                                  75,488,066                                              -1,025,400   -1.34%   x 1.01 
 sherlock::name_alt3_nocase               376,477,400                                 359,719,533                                            -16,757,867   -4.45%   x 1.05 
 sherlock::name_alt4                      97,674,533                                  96,044,933                                              -1,629,600   -1.67%   x 1.02 
 sherlock::name_alt4_nocase               164,390,733                                 164,244,666                                               -146,067   -0.09%   x 1.00 
 sherlock::name_alt5                      70,700,000                                  69,444,600                                              -1,255,400   -1.78%   x 1.02 
 sherlock::name_alt5_nocase               339,435,200                                 407,616,133                                             68,180,933   20.09%   x 0.83 
 sherlock::name_holmes                    26,076,533                                  24,702,000                                              -1,374,533   -5.27%   x 1.06 
 sherlock::name_holmes_nocase             117,200,000                                 126,210,733                                              9,010,733    7.69%   x 0.93 
 sherlock::name_sherlock                  54,956,133                                  54,509,133                                                -447,000   -0.81%   x 1.01 
 sherlock::name_sherlock_holmes           17,911,066                                  17,289,533                                                -621,533   -3.47%   x 1.04 
 sherlock::name_sherlock_holmes_nocase    85,421,000                                  92,909,200                                               7,488,200    8.77%   x 0.92 
 sherlock::name_sherlock_nocase           83,926,200                                  91,571,600                                               7,645,400    9.11%   x 0.92 
 sherlock::name_whitespace                61,548,733                                  63,707,733                                               2,159,000    3.51%   x 0.97 
 sherlock::no_match_common                8,128,866                                   8,223,800                                                   94,934    1.17%   x 0.99 
 sherlock::no_match_really_common         212,832,533                                 218,388,866                                              5,556,333    2.61%   x 0.97 
 sherlock::no_match_uncommon              8,183,933                                   8,170,333                                                  -13,600   -0.17%   x 1.00 
 sherlock::quotes                         326,596,133                                 325,048,000                                             -1,548,133   -0.47%   x 1.00 
 sherlock::repeated_class_negation        57,307,025,600                              49,668,692,733                                      -7,638,332,867  -13.33%   x 1.15 
 sherlock::the_lower                      407,487,066                                 414,540,266                                              7,053,200    1.73%   x 0.98 
 sherlock::the_nocase                     468,528,533                                 497,283,733                                             28,755,200    6.14%   x 0.94 
 sherlock::the_upper                      28,653,000                                  26,891,200                                              -1,761,800   -6.15%   x 1.07 
 sherlock::the_whitespace                 746,980,800                                 751,727,266                                              4,746,466    0.64%   x 0.99 
 sherlock::word_ending_n                  1,420,224,400                               1,394,240,533                                          -25,983,867   -1.83%   x 1.02 
 sherlock::words                          6,257,791,466                               6,210,964,733                                          -46,826,733   -0.75%   x 1.01 
