 name                                     final-non-pgo-1-cgu/merged-timings.txt ns/iter  final-non-pgo-1-cgu-instr-limit/merged-timings.txt ns/iter  diff ns/iter  diff %  speedup 
 regexdna::variant3                       4,202,015,866                                   4,222,673,533                                                 20,657,667   0.49%   x 1.00 
 regexdna::variant4                       4,220,049,333                                   4,240,297,400                                                 20,248,067   0.48%   x 1.00 
 regexdna::variant5                       2,792,859,333                                   2,810,734,000                                                 17,874,667   0.64%   x 0.99 
 regexdna::variant6                       2,783,862,733                                   2,806,470,066                                                 22,607,333   0.81%   x 0.99 
 regexdna::variant7                       3,687,440,200                                   3,705,138,000                                                 17,697,800   0.48%   x 1.00 
 regexdna::variant8                       3,766,064,733                                   3,777,778,600                                                 11,713,867   0.31%   x 1.00 
 regexdna::variant9                       3,685,758,866                                   3,712,643,066                                                 26,884,200   0.73%   x 0.99 
 sherlock::before_after_holmes            812,264,533                                     821,348,533                                                    9,084,000   1.12%   x 0.99 
 sherlock::before_holmes                  52,556,133                                      52,854,733                                                       298,600   0.57%   x 0.99 
 sherlock::everything_greedy              1,894,350,266                                   1,912,206,133                                                 17,855,867   0.94%   x 0.99 
 sherlock::everything_greedy_nl           835,351,800                                     843,754,933                                                    8,403,133   1.01%   x 0.99 
 sherlock::holmes_cochar_watson           88,413,133                                      89,599,466                                                     1,186,333   1.34%   x 0.99 
 sherlock::holmes_coword_watson           418,853,200                                     423,576,133                                                    4,722,933   1.13%   x 0.99 
 sherlock::ing_suffix                     333,070,133                                     334,676,133                                                    1,606,000   0.48%   x 1.00 
 sherlock::ing_suffix_limited_space       947,092,733                                     955,140,333                                                    8,047,600   0.85%   x 0.99 
 sherlock::letters                        19,104,588,800                                  19,204,961,000                                               100,372,200   0.53%   x 0.99 
 sherlock::letters_lower                  18,647,082,333                                  18,878,794,666                                               231,712,333   1.24%   x 0.99 
 sherlock::letters_upper                  1,528,753,600                                   1,546,060,466                                                 17,306,866   1.13%   x 0.99 
 sherlock::line_boundary_sherlock_holmes  803,481,200                                     811,220,266                                                    7,739,066   0.96%   x 0.99 
 sherlock::name_alt1                      26,036,200                                      26,526,333                                                       490,133   1.88%   x 0.98 
 sherlock::name_alt2                      66,173,600                                      67,013,200                                                       839,600   1.27%   x 0.99 
 sherlock::name_alt3                      76,755,333                                      77,645,333                                                       890,000   1.16%   x 0.99 
 sherlock::name_alt3_nocase               423,896,400                                     429,781,933                                                    5,885,533   1.39%   x 0.99 
 sherlock::name_alt4                      95,470,066                                      96,674,733                                                     1,204,667   1.26%   x 0.99 
 sherlock::name_alt4_nocase               173,764,066                                     175,942,466                                                    2,178,400   1.25%   x 0.99 
 sherlock::name_alt5                      70,275,333                                      70,932,333                                                       657,000   0.93%   x 0.99 
 sherlock::name_alt5_nocase               388,049,333                                     392,139,933                                                    4,090,600   1.05%   x 0.99 
 sherlock::name_holmes                    26,495,933                                      26,569,133                                                        73,200   0.28%   x 1.00 
 sherlock::name_holmes_nocase             139,414,733                                     140,753,666                                                    1,338,933   0.96%   x 0.99 
 sherlock::name_sherlock                  59,222,266                                      59,938,933                                                       716,667   1.21%   x 0.99 
 sherlock::name_sherlock_holmes           18,305,866                                      18,406,933                                                       101,067   0.55%   x 0.99 
 sherlock::name_sherlock_holmes_nocase    98,214,933                                      99,209,533                                                       994,600   1.01%   x 0.99 
 sherlock::name_sherlock_nocase           96,736,066                                      97,690,533                                                       954,467   0.99%   x 0.99 
 sherlock::name_whitespace                64,601,066                                      64,932,800                                                       331,734   0.51%   x 0.99 
 sherlock::no_match_common                8,248,933                                       8,385,333                                                        136,400   1.65%   x 0.98 
 sherlock::no_match_really_common         219,991,866                                     221,598,133                                                    1,606,267   0.73%   x 0.99 
 sherlock::no_match_uncommon              8,305,666                                       8,397,266                                                         91,600   1.10%   x 0.99 
 sherlock::quotes                         324,576,600                                     328,706,466                                                    4,129,866   1.27%   x 0.99 
 sherlock::repeated_class_negation        61,199,460,000                                  61,943,112,466                                               743,652,466   1.22%   x 0.99 
 sherlock::the_lower                      441,333,533                                     447,647,533                                                    6,314,000   1.43%   x 0.99 
 sherlock::the_nocase                     494,965,000                                     499,561,000                                                    4,596,000   0.93%   x 0.99 
 sherlock::the_upper                      30,439,733                                      30,741,200                                                       301,467   0.99%   x 0.99 
 sherlock::the_whitespace                 804,842,733                                     816,876,266                                                   12,033,533   1.50%   x 0.99 
 sherlock::word_ending_n                  1,473,760,133                                   1,488,245,133                                                 14,485,000   0.98%   x 0.99 
 sherlock::words                          7,498,794,466                                   7,553,879,066                                                 55,084,600   0.73%   x 0.99 
