 name                                     non-pgo-timings-O3-nightly/merged-timings.txt ns/iter  pgo-timings-O3-nightly/merged-timings.txt ns/iter   diff ns/iter  diff %  speedup 
 sherlock::ing_suffix                     313,113,840                                            321,379,280                                            8,265,440   2.64%   x 0.97 
 sherlock::ing_suffix_limited_space       940,316,040                                            962,759,800                                           22,443,760   2.39%   x 0.98 
 sherlock::letters                        16,843,076,760                                         16,947,222,680                                       104,145,920   0.62%   x 0.99 
 sherlock::letters_lower                  16,230,621,440                                         16,551,799,080                                       321,177,640   1.98%   x 0.98 
 sherlock::letters_upper                  1,460,567,040                                          1,483,986,560                                         23,419,520   1.60%   x 0.98 
 sherlock::line_boundary_sherlock_holmes  809,472,040                                            825,919,120                                           16,447,080   2.03%   x 0.98 
 sherlock::name_alt1                      23,631,440                                             24,576,680                                               945,240   4.00%   x 0.96 
 sherlock::name_alt2                      65,875,720                                             67,382,640                                             1,506,920   2.29%   x 0.98 
 sherlock::name_alt3                      75,834,720                                             77,831,320                                             1,996,600   2.63%   x 0.97 
 sherlock::name_alt3_nocase               354,991,840                                            354,712,880                                             -278,960  -0.08%   x 1.00 
 sherlock::name_alt4                      95,057,120                                             97,123,600                                             2,066,480   2.17%   x 0.98 
 sherlock::name_alt4_nocase               155,222,960                                            158,828,120                                            3,605,160   2.32%   x 0.98 
 sherlock::name_alt5                      70,018,960                                             71,732,760                                             1,713,800   2.45%   x 0.98 
 sherlock::name_alt5_nocase               326,254,240                                            326,371,600                                              117,360   0.04%   x 1.00 
 sherlock::name_holmes                    25,470,800                                             28,019,640                                             2,548,840  10.01%   x 0.91 
 sherlock::name_holmes_nocase             113,012,640                                            114,831,920                                            1,819,280   1.61%   x 0.98 
 sherlock::name_sherlock                  58,026,720                                             57,700,000                                              -326,720  -0.56%   x 1.01 
 sherlock::name_sherlock_holmes           19,416,160                                             19,642,520                                               226,360   1.17%   x 0.99 
 sherlock::name_sherlock_holmes_nocase    82,473,640                                             83,887,280                                             1,413,640   1.71%   x 0.98 
 sherlock::name_sherlock_nocase           79,750,600                                             81,669,160                                             1,918,560   2.41%   x 0.98 
 sherlock::name_whitespace                64,207,320                                             65,356,840                                             1,149,520   1.79%   x 0.98 
 sherlock::no_match_common                8,247,120                                              8,642,240                                                395,120   4.79%   x 0.95 
 sherlock::no_match_really_common         217,147,000                                            220,629,840                                            3,482,840   1.60%   x 0.98 
 sherlock::no_match_uncommon              8,300,080                                              8,689,880                                                389,800   4.70%   x 0.96 
 sherlock::quotes                         326,576,360                                            332,721,840                                            6,145,480   1.88%   x 0.98 
 sherlock::repeated_class_negation        56,369,529,800                                         58,003,726,600                                     1,634,196,800   2.90%   x 0.97 
 sherlock::the_lower                      421,369,040                                            430,519,760                                            9,150,720   2.17%   x 0.98 
 sherlock::the_nocase                     454,419,800                                            456,976,560                                            2,556,760   0.56%   x 0.99 
 sherlock::the_upper                      29,615,400                                             29,685,920                                                70,520   0.24%   x 1.00 
 sherlock::the_whitespace                 758,835,640                                            773,358,440                                           14,522,800   1.91%   x 0.98 
 sherlock::word_ending_n                  1,428,533,280                                          1,435,761,320                                          7,228,040   0.51%   x 0.99 
 sherlock::words                          6,524,643,760                                          6,637,135,680                                        112,491,920   1.72%   x 0.98 
