 name                                     non-pgo-timings/merged-timings.txt ns/iter  pgo-timings-no-preinline/merged-timings.txt ns/iter  diff ns/iter  diff %  speedup 
 sherlock::name_alt5_nocase               324,129,350                                 319,660,100                                            -4,469,250  -1.38%   x 1.01 
 sherlock::name_holmes                    25,349,850                                  25,039,350                                               -310,500  -1.22%   x 1.01 
 sherlock::name_holmes_nocase             113,424,250                                 112,403,400                                            -1,020,850  -0.90%   x 1.01 
 sherlock::name_sherlock                  56,819,900                                  58,125,150                                              1,305,250   2.30%   x 0.98 
 sherlock::name_sherlock_holmes           18,286,150                                  18,117,750                                               -168,400  -0.92%   x 1.01 
 sherlock::name_sherlock_holmes_nocase    82,499,200                                  80,883,500                                             -1,615,700  -1.96%   x 1.02 
 sherlock::name_sherlock_nocase           80,419,200                                  78,636,100                                             -1,783,100  -2.22%   x 1.02 
 sherlock::name_whitespace                63,878,650                                  63,069,100                                               -809,550  -1.27%   x 1.01 
 sherlock::no_match_common                8,294,750                                   8,275,200                                                 -19,550  -0.24%   x 1.00 
 sherlock::no_match_really_common         218,978,800                                 214,665,500                                            -4,313,300  -1.97%   x 1.02 
 sherlock::no_match_uncommon              8,357,300                                   8,402,550                                                  45,250   0.54%   x 0.99 
 sherlock::quotes                         328,878,250                                 323,272,200                                            -5,606,050  -1.70%   x 1.02 
 sherlock::repeated_class_negation        55,458,028,250                              54,856,483,050                                       -601,545,200  -1.08%   x 1.01 
 sherlock::the_lower                      427,385,650                                 421,815,500                                            -5,570,150  -1.30%   x 1.01 
 sherlock::the_nocase                     453,423,650                                 448,684,800                                            -4,738,850  -1.05%   x 1.01 
 sherlock::the_upper                      29,158,250                                  28,555,900                                               -602,350  -2.07%   x 1.02 
 sherlock::the_whitespace                 788,836,600                                 792,205,150                                             3,368,550   0.43%   x 1.00 
 sherlock::word_ending_n                  1,412,843,050                               1,403,434,400                                          -9,408,650  -0.67%   x 1.01 
 sherlock::words                          6,497,652,850                               6,308,655,450                                        -188,997,400  -2.91%   x 1.03 
