 name                                     final-pgo-N-cgus-use/merged-timings.txt ns/iter  final-pgo-N-cgus-instr-limit-use/merged-timings.txt ns/iter   diff ns/iter   diff %  speedup 
 sherlock::holmes_coword_watson           422,271,200                                      418,175,933                                                     -4,095,267   -0.97%   x 1.01 
 sherlock::ing_suffix                     353,351,200                                      337,446,600                                                    -15,904,600   -4.50%   x 1.05 
 sherlock::ing_suffix_limited_space       953,607,400                                      942,862,133                                                    -10,745,267   -1.13%   x 1.01 
 sherlock::letters                        18,182,760,200                                   19,311,139,933                                               1,128,379,733    6.21%   x 0.94 
 sherlock::letters_lower                  17,913,230,733                                   18,939,163,533                                               1,025,932,800    5.73%   x 0.95 
 sherlock::letters_upper                  1,540,791,800                                    1,547,860,600                                                    7,068,800    0.46%   x 1.00 
 sherlock::line_boundary_sherlock_holmes  816,116,066                                      802,611,333                                                    -13,504,733   -1.65%   x 1.02 
 sherlock::name_alt1                      22,651,933                                       22,947,066                                                         295,133    1.30%   x 0.99 
 sherlock::name_alt2                      65,323,466                                       66,677,066                                                       1,353,600    2.07%   x 0.98 
 sherlock::name_alt3                      75,190,066                                       76,826,000                                                       1,635,934    2.18%   x 0.98 
 sherlock::name_alt3_nocase               353,443,000                                      388,973,133                                                     35,530,133   10.05%   x 0.91 
 sherlock::name_alt4                      95,079,200                                       96,918,666                                                       1,839,466    1.93%   x 0.98 
 sherlock::name_alt4_nocase               162,995,866                                      168,937,466                                                      5,941,600    3.65%   x 0.96 
 sherlock::name_alt5                      69,425,266                                       70,898,533                                                       1,473,267    2.12%   x 0.98 
 sherlock::name_alt5_nocase               347,686,866                                      371,404,200                                                     23,717,334    6.82%   x 0.94 
 sherlock::name_holmes                    33,077,733                                       23,331,400                                                      -9,746,333  -29.46%   x 1.42 
 sherlock::name_holmes_nocase             118,489,733                                      124,383,733                                                      5,894,000    4.97%   x 0.95 
 sherlock::name_sherlock                  67,179,066                                       59,605,266                                                      -7,573,800  -11.27%   x 1.13 
 sherlock::name_sherlock_holmes           24,935,800                                       15,849,733                                                      -9,086,067  -36.44%   x 1.57 
 sherlock::name_sherlock_holmes_nocase    88,257,333                                       89,770,666                                                       1,513,333    1.71%   x 0.98 
 sherlock::name_sherlock_nocase           86,185,600                                       87,541,866                                                       1,356,266    1.57%   x 0.98 
 sherlock::name_whitespace                72,073,066                                       67,643,133                                                      -4,429,933   -6.15%   x 1.07 
 sherlock::no_match_common                8,533,200                                        8,043,000                                                         -490,200   -5.74%   x 1.06 
 sherlock::no_match_really_common         239,349,133                                      219,623,866                                                    -19,725,267   -8.24%   x 1.09 
 sherlock::no_match_uncommon              8,524,200                                        8,033,533                                                         -490,667   -5.76%   x 1.06 
 sherlock::quotes                         332,996,533                                      330,272,266                                                     -2,724,267   -0.82%   x 1.01 
 sherlock::repeated_class_negation        62,794,359,733                                   62,019,806,400                                                -774,553,333   -1.23%   x 1.01 
 sherlock::the_lower                      462,658,400                                      414,954,466                                                    -47,703,934  -10.31%   x 1.11 
 sherlock::the_nocase                     484,919,533                                      511,850,866                                                     26,931,333    5.55%   x 0.95 
 sherlock::the_upper                      35,310,800                                       26,378,133                                                      -8,932,667  -25.30%   x 1.34 
 sherlock::the_whitespace                 795,410,133                                      833,830,133                                                     38,420,000    4.83%   x 0.95 
 sherlock::word_ending_n                  1,475,342,666                                    1,484,301,266                                                    8,958,600    0.61%   x 0.99 
 sherlock::words                          7,035,049,600                                    7,292,398,533                                                  257,348,933    3.66%   x 0.96 
