 name                                     final-non-pgo-N-cgus/merged-timings.txt ns/iter  final-pgo-N-cgus-instr-limit-use/merged-timings.txt ns/iter   diff ns/iter   diff %  speedup 
 sherlock::name_sherlock                  62,632,066                                       59,605,266                                                      -3,026,800   -4.83%   x 1.05 
 sherlock::name_sherlock_holmes           20,959,533                                       15,849,733                                                      -5,109,800  -24.38%   x 1.32 
 sherlock::name_sherlock_holmes_nocase    83,998,600                                       89,770,666                                                       5,772,066    6.87%   x 0.94 
 sherlock::name_sherlock_nocase           82,141,066                                       87,541,866                                                       5,400,800    6.58%   x 0.94 
 sherlock::name_whitespace                67,980,266                                       67,643,133                                                        -337,133   -0.50%   x 1.00 
 sherlock::no_match_common                8,354,800                                        8,043,000                                                         -311,800   -3.73%   x 1.04 
 sherlock::no_match_really_common         229,076,733                                      219,623,866                                                     -9,452,867   -4.13%   x 1.04 
 sherlock::no_match_uncommon              8,395,600                                        8,033,533                                                         -362,067   -4.31%   x 1.05 
 sherlock::quotes                         338,735,333                                      330,272,266                                                     -8,463,067   -2.50%   x 1.03 
 sherlock::repeated_class_negation        61,183,233,533                                   62,019,806,400                                                 836,572,867    1.37%   x 0.99 
 sherlock::the_lower                      454,021,000                                      414,954,466                                                    -39,066,534   -8.60%   x 1.09 
 sherlock::the_nocase                     478,895,800                                      511,850,866                                                     32,955,066    6.88%   x 0.94 
 sherlock::the_upper                      31,371,266                                       26,378,133                                                      -4,993,133  -15.92%   x 1.19 
 sherlock::the_whitespace                 808,392,066                                      833,830,133                                                     25,438,067    3.15%   x 0.97 
 sherlock::word_ending_n                  1,482,713,133                                    1,484,301,266                                                    1,588,133    0.11%   x 1.00 
 sherlock::words                          7,305,932,066                                    7,292,398,533                                                  -13,533,533   -0.19%   x 1.00 
