 name                                     final-non-pgo-1-cgu/merged-timings.txt ns/iter  final-pgo-N-cgus-instr-limit-use/merged-timings.txt ns/iter  diff ns/iter   diff %  speedup 
 sherlock::holmes_cochar_watson           88,413,133                                      88,552,866                                                        139,733    0.16%   x 1.00 
 sherlock::holmes_coword_watson           418,853,200                                     418,175,933                                                      -677,267   -0.16%   x 1.00 
 sherlock::ing_suffix                     333,070,133                                     337,446,600                                                     4,376,467    1.31%   x 0.99 
 sherlock::ing_suffix_limited_space       947,092,733                                     942,862,133                                                    -4,230,600   -0.45%   x 1.00 
 sherlock::letters                        19,104,588,800                                  19,311,139,933                                                206,551,133    1.08%   x 0.99 
 sherlock::letters_lower                  18,647,082,333                                  18,939,163,533                                                292,081,200    1.57%   x 0.98 
 sherlock::letters_upper                  1,528,753,600                                   1,547,860,600                                                  19,107,000    1.25%   x 0.99 
 sherlock::line_boundary_sherlock_holmes  803,481,200                                     802,611,333                                                      -869,867   -0.11%   x 1.00 
 sherlock::name_alt1                      26,036,200                                      22,947,066                                                     -3,089,134  -11.86%   x 1.13 
 sherlock::name_alt2                      66,173,600                                      66,677,066                                                        503,466    0.76%   x 0.99 
 sherlock::name_alt3                      76,755,333                                      76,826,000                                                         70,667    0.09%   x 1.00 
 sherlock::name_alt3_nocase               423,896,400                                     388,973,133                                                   -34,923,267   -8.24%   x 1.09 
 sherlock::name_alt4                      95,470,066                                      96,918,666                                                      1,448,600    1.52%   x 0.99 
 sherlock::name_alt4_nocase               173,764,066                                     168,937,466                                                    -4,826,600   -2.78%   x 1.03 
 sherlock::name_alt5                      70,275,333                                      70,898,533                                                        623,200    0.89%   x 0.99 
 sherlock::name_alt5_nocase               388,049,333                                     371,404,200                                                   -16,645,133   -4.29%   x 1.04 
 sherlock::name_holmes                    26,495,933                                      23,331,400                                                     -3,164,533  -11.94%   x 1.14 
 sherlock::name_holmes_nocase             139,414,733                                     124,383,733                                                   -15,031,000  -10.78%   x 1.12 
 sherlock::name_sherlock                  59,222,266                                      59,605,266                                                        383,000    0.65%   x 0.99 
 sherlock::name_sherlock_holmes           18,305,866                                      15,849,733                                                     -2,456,133  -13.42%   x 1.15 
 sherlock::name_sherlock_holmes_nocase    98,214,933                                      89,770,666                                                     -8,444,267   -8.60%   x 1.09 
 sherlock::name_sherlock_nocase           96,736,066                                      87,541,866                                                     -9,194,200   -9.50%   x 1.11 
 sherlock::name_whitespace                64,601,066                                      67,643,133                                                      3,042,067    4.71%   x 0.96 
 sherlock::no_match_common                8,248,933                                       8,043,000                                                        -205,933   -2.50%   x 1.03 
 sherlock::no_match_really_common         219,991,866                                     219,623,866                                                      -368,000   -0.17%   x 1.00 
 sherlock::no_match_uncommon              8,305,666                                       8,033,533                                                        -272,133   -3.28%   x 1.03 
 sherlock::quotes                         324,576,600                                     330,272,266                                                     5,695,666    1.75%   x 0.98 
 sherlock::repeated_class_negation        61,199,460,000                                  62,019,806,400                                                820,346,400    1.34%   x 0.99 
 sherlock::the_lower                      441,333,533                                     414,954,466                                                   -26,379,067   -5.98%   x 1.06 
 sherlock::the_nocase                     494,965,000                                     511,850,866                                                    16,885,866    3.41%   x 0.97 
 sherlock::the_upper                      30,439,733                                      26,378,133                                                     -4,061,600  -13.34%   x 1.15 
 sherlock::the_whitespace                 804,842,733                                     833,830,133                                                    28,987,400    3.60%   x 0.97 
 sherlock::word_ending_n                  1,473,760,133                                   1,484,301,266                                                  10,541,133    0.72%   x 0.99 
 sherlock::words                          7,498,794,466                                   7,292,398,533                                                -206,395,933   -2.75%   x 1.03 
