 name                                     pgo-timings/merged-timings.txt ns/iter  pgo-timings-no-preinline/merged-timings.txt ns/iter  diff ns/iter   diff %  speedup 
 regexdna::variant7                       3,402,261,500                           3,257,362,000                                        -144,899,500   -4.26%   x 1.04 
 regexdna::variant8                       3,477,772,000                           3,341,360,000                                        -136,412,000   -3.92%   x 1.04 
 regexdna::variant9                       3,432,441,500                           3,328,175,500                                        -104,266,000   -3.04%   x 1.03 
 sherlock::before_after_holmes            813,771,500                             826,556,000                                            12,784,500    1.57%   x 0.98 
 sherlock::before_holmes                  49,723,500                              51,110,500                                              1,387,000    2.79%   x 0.97 
 sherlock::everything_greedy              1,625,286,500                           1,589,519,000                                         -35,767,500   -2.20%   x 1.02 
 sherlock::everything_greedy_nl           718,540,000                             715,836,000                                            -2,704,000   -0.38%   x 1.00 
 sherlock::holmes_cochar_watson           90,013,000                              89,448,500                                               -564,500   -0.63%   x 1.01 
 sherlock::holmes_coword_watson           425,389,500                             428,309,000                                             2,919,500    0.69%   x 0.99 
 sherlock::ing_suffix                     313,530,000                             326,913,000                                            13,383,000    4.27%   x 0.96 
 sherlock::ing_suffix_limited_space       945,825,000                             959,102,000                                            13,277,000    1.40%   x 0.99 
 sherlock::letters                        16,858,014,000                          16,846,351,000                                        -11,663,000   -0.07%   x 1.00 
 sherlock::letters_lower                  16,410,250,000                          16,605,945,500                                        195,695,500    1.19%   x 0.99 
 sherlock::letters_upper                  1,462,386,500                           1,490,890,000                                          28,503,500    1.95%   x 0.98 
 sherlock::line_boundary_sherlock_holmes  820,381,000                             810,808,500                                            -9,572,500   -1.17%   x 1.01 
 sherlock::name_alt1                      23,611,000                              24,098,000                                                487,000    2.06%   x 0.98 
 sherlock::name_alt2                      65,931,500                              66,441,500                                                510,000    0.77%   x 0.99 
 sherlock::name_alt3                      76,014,000                              75,783,000                                               -231,000   -0.30%   x 1.00 
 sherlock::name_alt3_nocase               351,890,000                             357,515,000                                             5,625,000    1.60%   x 0.98 
 sherlock::name_alt4                      95,545,000                              97,299,500                                              1,754,500    1.84%   x 0.98 
 sherlock::name_alt4_nocase               154,724,000                             160,332,500                                             5,608,500    3.62%   x 0.97 
 sherlock::name_alt5                      70,653,000                              69,756,500                                               -896,500   -1.27%   x 1.01 
 sherlock::name_alt5_nocase               320,389,500                             330,913,500                                            10,524,000    3.28%   x 0.97 
 sherlock::name_holmes                    29,072,000                              27,018,000                                             -2,054,000   -7.07%   x 1.08 
 sherlock::name_holmes_nocase             111,179,500                             112,104,500                                               925,000    0.83%   x 0.99 
 sherlock::name_sherlock                  56,173,000                              58,373,500                                              2,200,500    3.92%   x 0.96 
 sherlock::name_sherlock_holmes           19,308,500                              18,877,500                                               -431,000   -2.23%   x 1.02 
 sherlock::name_sherlock_holmes_nocase    82,163,500                              80,933,000                                             -1,230,500   -1.50%   x 1.02 
 sherlock::name_sherlock_nocase           78,941,000                              79,324,000                                                383,000    0.49%   x 1.00 
 sherlock::name_whitespace                65,625,500                              64,094,500                                             -1,531,000   -2.33%   x 1.02 
 sherlock::no_match_common                8,471,000                               8,353,500                                                -117,500   -1.39%   x 1.01 
 sherlock::no_match_really_common         221,736,000                             229,342,000                                             7,606,000    3.43%   x 0.97 
 sherlock::no_match_uncommon              8,113,000                               8,123,500                                                  10,500    0.13%   x 1.00 
 sherlock::quotes                         324,234,000                             327,783,500                                             3,549,500    1.09%   x 0.99 
 sherlock::repeated_class_negation        55,847,843,000                          55,447,760,000                                       -400,083,000   -0.72%   x 1.01 
 sherlock::the_lower                      432,489,500                             430,288,500                                            -2,201,000   -0.51%   x 1.01 
 sherlock::the_nocase                     450,467,000                             445,247,500                                            -5,219,500   -1.16%   x 1.01 
 sherlock::the_upper                      29,015,000                              30,725,500                                              1,710,500    5.90%   x 0.94 
 sherlock::the_whitespace                 759,193,000                             754,047,500                                            -5,145,500   -0.68%   x 1.01 
 sherlock::word_ending_n                  1,406,200,000                           1,437,217,500                                          31,017,500    2.21%   x 0.98 
 sherlock::words                          6,536,081,500                           6,378,898,500                                        -157,183,000   -2.40%   x 1.02 
