 name                                     non-pgo-timings-O3-nightly/merged-timings.txt ns/iter  pgo-timings-O3-no-preinline-nightly/merged-timings.txt ns/iter    diff ns/iter  diff %  speedup 
 regexdna::variant9                       3,299,823,680                                          3,257,780,440                                                      -42,043,240  -1.27%   x 1.01 
 sherlock::before_after_holmes            820,867,880                                            810,327,840                                                        -10,540,040  -1.28%   x 1.01 
 sherlock::before_holmes                  48,999,280                                             49,455,920                                                             456,640   0.93%   x 0.99 
 sherlock::everything_greedy              1,580,875,640                                          1,561,620,440                                                      -19,255,200  -1.22%   x 1.01 
 sherlock::everything_greedy_nl           713,118,400                                            706,635,800                                                         -6,482,600  -0.91%   x 1.01 
 sherlock::holmes_cochar_watson           89,469,480                                             88,086,640                                                          -1,382,840  -1.55%   x 1.02 
 sherlock::holmes_coword_watson           421,164,240                                            417,038,200                                                         -4,126,040  -0.98%   x 1.01 
 sherlock::ing_suffix                     313,113,840                                            307,778,560                                                         -5,335,280  -1.70%   x 1.02 
 sherlock::ing_suffix_limited_space       940,316,040                                            930,804,640                                                         -9,511,400  -1.01%   x 1.01 
 sherlock::letters                        16,843,076,760                                         16,502,566,560                                                    -340,510,200  -2.02%   x 1.02 
 sherlock::letters_lower                  16,230,621,440                                         16,108,090,880                                                    -122,530,560  -0.75%   x 1.01 
 sherlock::letters_upper                  1,460,567,040                                          1,440,556,720                                                      -20,010,320  -1.37%   x 1.01 
 sherlock::line_boundary_sherlock_holmes  809,472,040                                            802,104,800                                                         -7,367,240  -0.91%   x 1.01 
 sherlock::name_alt1                      23,631,440                                             23,436,160                                                            -195,280  -0.83%   x 1.01 
 sherlock::name_alt2                      65,875,720                                             65,346,400                                                            -529,320  -0.80%   x 1.01 
 sherlock::name_alt3                      75,834,720                                             75,032,600                                                            -802,120  -1.06%   x 1.01 
 sherlock::name_alt3_nocase               354,991,840                                            350,268,240                                                         -4,723,600  -1.33%   x 1.01 
 sherlock::name_alt4                      95,057,120                                             93,766,640                                                          -1,290,480  -1.36%   x 1.01 
 sherlock::name_alt4_nocase               155,222,960                                            155,079,160                                                           -143,800  -0.09%   x 1.00 
 sherlock::name_alt5                      70,018,960                                             69,485,200                                                            -533,760  -0.76%   x 1.01 
 sherlock::name_alt5_nocase               326,254,240                                            322,674,560                                                         -3,579,680  -1.10%   x 1.01 
 sherlock::name_holmes                    25,470,800                                             26,720,200                                                           1,249,400   4.91%   x 0.95 
 sherlock::name_holmes_nocase             113,012,640                                            111,211,320                                                         -1,801,320  -1.59%   x 1.02 
 sherlock::name_sherlock                  58,026,720                                             57,399,120                                                            -627,600  -1.08%   x 1.01 
 sherlock::name_sherlock_holmes           19,416,160                                             18,824,760                                                            -591,400  -3.05%   x 1.03 
 sherlock::name_sherlock_holmes_nocase    82,473,640                                             81,502,240                                                            -971,400  -1.18%   x 1.01 
 sherlock::name_sherlock_nocase           79,750,600                                             79,583,040                                                            -167,560  -0.21%   x 1.00 
 sherlock::name_whitespace                64,207,320                                             63,718,040                                                            -489,280  -0.76%   x 1.01 
 sherlock::no_match_common                8,247,120                                              8,191,720                                                              -55,400  -0.67%   x 1.01 
 sherlock::no_match_really_common         217,147,000                                            217,194,720                                                             47,720   0.02%   x 1.00 
 sherlock::no_match_uncommon              8,300,080                                              8,211,880                                                              -88,200  -1.06%   x 1.01 
 sherlock::quotes                         326,576,360                                            326,629,640                                                             53,280   0.02%   x 1.00 
 sherlock::repeated_class_negation        56,369,529,800                                         54,964,632,320                                                  -1,404,897,480  -2.49%   x 1.03 
 sherlock::the_lower                      421,369,040                                            419,631,760                                                         -1,737,280  -0.41%   x 1.00 
 sherlock::the_nocase                     454,419,800                                            452,877,360                                                         -1,542,440  -0.34%   x 1.00 
 sherlock::the_upper                      29,615,400                                             29,563,880                                                             -51,520  -0.17%   x 1.00 
 sherlock::the_whitespace                 758,835,640                                            754,364,400                                                         -4,471,240  -0.59%   x 1.01 
 sherlock::word_ending_n                  1,428,533,280                                          1,402,793,040                                                      -25,740,240  -1.80%   x 1.02 
 sherlock::words                          6,524,643,760                                          6,507,472,720                                                      -17,171,040  -0.26%   x 1.00 
