 name                                     pgo-timings-O3-no-preinline-nightly/merged-timings.txt ns/iter  pgo-timings-higher-threshold/merged-timings.txt ns/iter  diff ns/iter   diff %  speedup 
 sherlock::name_alt2                      65,346,400                                                      65,242,150                                                   -104,250   -0.16%   x 1.00 
 sherlock::name_alt3                      75,032,600                                                      74,942,700                                                    -89,900   -0.12%   x 1.00 
 sherlock::name_alt3_nocase               350,268,240                                                     348,537,450                                                -1,730,790   -0.49%   x 1.00 
 sherlock::name_alt4                      93,766,640                                                      93,975,250                                                    208,610    0.22%   x 1.00 
 sherlock::name_alt4_nocase               155,079,160                                                     154,091,500                                                  -987,660   -0.64%   x 1.01 
 sherlock::name_alt5                      69,485,200                                                      69,163,300                                                   -321,900   -0.46%   x 1.00 
 sherlock::name_alt5_nocase               322,674,560                                                     316,296,800                                                -6,377,760   -1.98%   x 1.02 
 sherlock::name_holmes                    26,720,200                                                      24,884,400                                                 -1,835,800   -6.87%   x 1.07 
 sherlock::name_holmes_nocase             111,211,320                                                     112,148,350                                                   937,030    0.84%   x 0.99 
 sherlock::name_sherlock                  57,399,120                                                      55,083,400                                                 -2,315,720   -4.03%   x 1.04 
 sherlock::name_sherlock_holmes           18,824,760                                                      17,850,300                                                   -974,460   -5.18%   x 1.05 
 sherlock::name_sherlock_holmes_nocase    81,502,240                                                      80,949,500                                                   -552,740   -0.68%   x 1.01 
 sherlock::name_sherlock_nocase           79,583,040                                                      78,975,700                                                   -607,340   -0.76%   x 1.01 
 sherlock::name_whitespace                63,718,040                                                      62,613,900                                                 -1,104,140   -1.73%   x 1.02 
 sherlock::no_match_common                8,191,720                                                       8,181,850                                                      -9,870   -0.12%   x 1.00 
 sherlock::no_match_really_common         217,194,720                                                     212,994,500                                                -4,200,220   -1.93%   x 1.02 
 sherlock::no_match_uncommon              8,211,880                                                       8,173,550                                                     -38,330   -0.47%   x 1.00 
 sherlock::quotes                         326,629,640                                                     322,176,900                                                -4,452,740   -1.36%   x 1.01 
 sherlock::repeated_class_negation        54,964,632,320                                                  54,843,062,750                                           -121,569,570   -0.22%   x 1.00 
 sherlock::the_lower                      419,631,760                                                     419,639,000                                                     7,240    0.00%   x 1.00 
 sherlock::the_nocase                     452,877,360                                                     446,481,300                                                -6,396,060   -1.41%   x 1.01 
 sherlock::the_upper                      29,563,880                                                      28,513,950                                                 -1,049,930   -3.55%   x 1.04 
 sherlock::the_whitespace                 754,364,400                                                     749,324,400                                                -5,040,000   -0.67%   x 1.01 
 sherlock::word_ending_n                  1,402,793,040                                                   1,388,774,550                                             -14,018,490   -1.00%   x 1.01 
 sherlock::words                          6,507,472,720                                                   6,407,395,600                                            -100,077,120   -1.54%   x 1.02 
