 name                                     final-non-pgo-1-cgu/merged-timings.txt ns/iter  final-pgo-1-cgu-use/merged-timings.txt ns/iter    diff ns/iter   diff %  speedup 
 sherlock::letters_lower                  18,647,082,333                                  18,355,620,533                                    -291,461,800   -1.56%   x 1.02 
 sherlock::letters_upper                  1,528,753,600                                   1,557,359,600                                       28,606,000    1.87%   x 0.98 
 sherlock::line_boundary_sherlock_holmes  803,481,200                                     819,662,066                                         16,180,866    2.01%   x 0.98 
 sherlock::name_alt1                      26,036,200                                      22,390,466                                          -3,645,734  -14.00%   x 1.16 
 sherlock::name_alt2                      66,173,600                                      66,678,600                                             505,000    0.76%   x 0.99 
 sherlock::name_alt3                      76,755,333                                      77,105,333                                             350,000    0.46%   x 1.00 
 sherlock::name_alt3_nocase               423,896,400                                     364,647,466                                        -59,248,934  -13.98%   x 1.16 
 sherlock::name_alt4                      95,470,066                                      97,311,733                                           1,841,667    1.93%   x 0.98 
 sherlock::name_alt4_nocase               173,764,066                                     169,328,266                                         -4,435,800   -2.55%   x 1.03 
 sherlock::name_alt5                      70,275,333                                      71,239,066                                             963,733    1.37%   x 0.99 
 sherlock::name_alt5_nocase               388,049,333                                     383,967,266                                         -4,082,067   -1.05%   x 1.01 
 sherlock::name_holmes                    26,495,933                                      25,366,333                                          -1,129,600   -4.26%   x 1.04 
 sherlock::name_holmes_nocase             139,414,733                                     123,787,533                                        -15,627,200  -11.21%   x 1.13 
 sherlock::name_sherlock                  59,222,266                                      60,457,600                                           1,235,334    2.09%   x 0.98 
 sherlock::name_sherlock_holmes           18,305,866                                      17,092,066                                          -1,213,800   -6.63%   x 1.07 
 sherlock::name_sherlock_holmes_nocase    98,214,933                                      95,677,733                                          -2,537,200   -2.58%   x 1.03 
 sherlock::name_sherlock_nocase           96,736,066                                      92,811,533                                          -3,924,533   -4.06%   x 1.04 
 sherlock::name_whitespace                64,601,066                                      68,214,866                                           3,613,800    5.59%   x 0.95 
 sherlock::no_match_common                8,248,933                                       8,408,800                                              159,867    1.94%   x 0.98 
 sherlock::no_match_really_common         219,991,866                                     223,588,066                                          3,596,200    1.63%   x 0.98 
 sherlock::no_match_uncommon              8,305,666                                       8,233,400                                              -72,266   -0.87%   x 1.01 
 sherlock::quotes                         324,576,600                                     336,742,666                                         12,166,066    3.75%   x 0.96 
 sherlock::repeated_class_negation        61,199,460,000                                  56,570,102,400                                  -4,629,357,600   -7.56%   x 1.08 
 sherlock::the_lower                      441,333,533                                     437,773,533                                         -3,560,000   -0.81%   x 1.01 
 sherlock::the_nocase                     494,965,000                                     511,725,866                                         16,760,866    3.39%   x 0.97 
 sherlock::the_upper                      30,439,733                                      29,428,533                                          -1,011,200   -3.32%   x 1.03 
 sherlock::the_whitespace                 804,842,733                                     816,271,466                                         11,428,733    1.42%   x 0.99 
 sherlock::word_ending_n                  1,473,760,133                                   1,486,988,066                                       13,227,933    0.90%   x 0.99 
 sherlock::words                          7,498,794,466                                   7,262,928,666                                     -235,865,800   -3.15%   x 1.03 
