 name                                     non-pgo-timings-O3-nightly/merged-timings.txt ns/iter  pgo-timings-threshold-300/merged-timings.txt ns/iter    diff ns/iter  diff %  speedup 
 sherlock::name_holmes                    25,470,800                                             24,956,150                                                  -514,650  -2.02%   x 1.02 
 sherlock::name_holmes_nocase             113,012,640                                            111,399,850                                               -1,612,790  -1.43%   x 1.01 
 sherlock::name_sherlock                  58,026,720                                             56,313,900                                                -1,712,820  -2.95%   x 1.03 
 sherlock::name_sherlock_holmes           19,416,160                                             17,841,450                                                -1,574,710  -8.11%   x 1.09 
 sherlock::name_sherlock_holmes_nocase    82,473,640                                             81,116,800                                                -1,356,840  -1.65%   x 1.02 
 sherlock::name_sherlock_nocase           79,750,600                                             79,116,500                                                  -634,100  -0.80%   x 1.01 
 sherlock::name_whitespace                64,207,320                                             63,642,500                                                  -564,820  -0.88%   x 1.01 
 sherlock::no_match_common                8,247,120                                              8,103,100                                                   -144,020  -1.75%   x 1.02 
 sherlock::no_match_really_common         217,147,000                                            213,652,300                                               -3,494,700  -1.61%   x 1.02 
 sherlock::no_match_uncommon              8,300,080                                              8,167,100                                                   -132,980  -1.60%   x 1.02 
 sherlock::quotes                         326,576,360                                            322,467,600                                               -4,108,760  -1.26%   x 1.01 
 sherlock::repeated_class_negation        56,369,529,800                                         55,242,379,050                                        -1,127,150,750  -2.00%   x 1.02 
 sherlock::the_lower                      421,369,040                                            418,641,150                                               -2,727,890  -0.65%   x 1.01 
 sherlock::the_nocase                     454,419,800                                            447,023,000                                               -7,396,800  -1.63%   x 1.02 
 sherlock::the_upper                      29,615,400                                             28,288,100                                                -1,327,300  -4.48%   x 1.05 
 sherlock::the_whitespace                 758,835,640                                            759,819,550                                                  983,910   0.13%   x 1.00 
 sherlock::word_ending_n                  1,428,533,280                                          1,402,847,300                                            -25,685,980  -1.80%   x 1.02 
 sherlock::words                          6,524,643,760                                          6,446,115,300                                            -78,528,460  -1.20%   x 1.01 
