 name                                     non-pgo-timings/merged-timings.txt ns/iter  pgo-timings-no-preinline/merged-timings.txt ns/iter  diff ns/iter  diff %  speedup 
 sherlock::name_holmes_nocase             111,877,000                                 112,104,500                                               227,500   0.20%   x 1.00 
 sherlock::name_sherlock                  57,121,500                                  58,373,500                                              1,252,000   2.19%   x 0.98 
 sherlock::name_sherlock_holmes           19,215,500                                  18,877,500                                               -338,000  -1.76%   x 1.02 
 sherlock::name_sherlock_holmes_nocase    81,851,000                                  80,933,000                                               -918,000  -1.12%   x 1.01 
 sherlock::name_sherlock_nocase           79,740,500                                  79,324,000                                               -416,500  -0.52%   x 1.01 
 sherlock::name_whitespace                63,996,500                                  64,094,500                                                 98,000   0.15%   x 1.00 
 sherlock::no_match_common                8,329,000                                   8,353,500                                                  24,500   0.29%   x 1.00 
 sherlock::no_match_really_common         217,130,500                                 229,342,000                                            12,211,500   5.62%   x 0.95 
 sherlock::no_match_uncommon              8,218,000                                   8,123,500                                                 -94,500  -1.15%   x 1.01 
 sherlock::quotes                         324,060,500                                 327,783,500                                             3,723,000   1.15%   x 0.99 
 sherlock::repeated_class_negation        55,828,027,000                              55,447,760,000                                       -380,267,000  -0.68%   x 1.01 
 sherlock::the_lower                      425,221,000                                 430,288,500                                             5,067,500   1.19%   x 0.99 
 sherlock::the_nocase                     449,790,000                                 445,247,500                                            -4,542,500  -1.01%   x 1.01 
 sherlock::the_upper                      30,120,500                                  30,725,500                                                605,000   2.01%   x 0.98 
 sherlock::the_whitespace                 755,869,000                                 754,047,500                                            -1,821,500  -0.24%   x 1.00 
 sherlock::word_ending_n                  1,423,322,500                               1,437,217,500                                          13,895,000   0.98%   x 0.99 
 sherlock::words                          6,485,061,500                               6,378,898,500                                        -106,163,000  -1.64%   x 1.02 
