 name                                     non-pgo-timings/merged-timings.txt ns/iter  pgo-timings-cargo-fixed/merged-timings.txt ns/iter    diff ns/iter   diff %  speedup 
 regexdna::variant6                       2,458,919,066                               2,893,048,400                                          434,129,334   17.66%   x 0.85 
 regexdna::variant7                       3,268,313,933                               3,704,060,600                                          435,746,667   13.33%   x 0.88 
 regexdna::variant8                       3,333,809,066                               3,788,915,866                                          455,106,800   13.65%   x 0.88 
 regexdna::variant9                       3,274,497,000                               3,705,931,200                                          431,434,200   13.18%   x 0.88 
 sherlock::before_after_holmes            830,237,933                                 830,424,266                                                186,333    0.02%   x 1.00 
 sherlock::before_holmes                  48,427,533                                  46,509,933                                              -1,917,600   -3.96%   x 1.04 
 sherlock::everything_greedy              1,592,308,133                               1,683,236,133                                           90,928,000    5.71%   x 0.95 
 sherlock::everything_greedy_nl           722,094,333                                 825,274,800                                            103,180,467   14.29%   x 0.87 
 sherlock::holmes_cochar_watson           90,840,733                                  90,608,666                                                -232,067   -0.26%   x 1.00 
 sherlock::holmes_coword_watson           423,190,733                                 427,002,200                                              3,811,467    0.90%   x 0.99 
 sherlock::ing_suffix                     298,565,200                                 315,513,800                                             16,948,600    5.68%   x 0.95 
 sherlock::ing_suffix_limited_space       947,296,200                                 951,667,066                                              4,370,866    0.46%   x 1.00 
 sherlock::letters                        16,504,706,000                              16,488,292,266                                         -16,413,734   -0.10%   x 1.00 
 sherlock::letters_lower                  16,132,591,666                              16,137,422,200                                           4,830,534    0.03%   x 1.00 
 sherlock::letters_upper                  1,458,560,266                               1,454,326,866                                           -4,233,400   -0.29%   x 1.00 
 sherlock::line_boundary_sherlock_holmes  812,715,933                                 816,304,933                                              3,589,000    0.44%   x 1.00 
 sherlock::name_alt1                      26,095,133                                  22,391,000                                              -3,704,133  -14.19%   x 1.17 
 sherlock::name_alt2                      66,647,533                                  66,655,200                                                   7,667    0.01%   x 1.00 
 sherlock::name_alt3                      76,513,466                                  76,296,933                                                -216,533   -0.28%   x 1.00 
 sherlock::name_alt3_nocase               376,477,400                                 359,298,866                                            -17,178,534   -4.56%   x 1.05 
 sherlock::name_alt4                      97,674,533                                  96,471,266                                              -1,203,267   -1.23%   x 1.01 
 sherlock::name_alt4_nocase               164,390,733                                 165,420,533                                              1,029,800    0.63%   x 0.99 
 sherlock::name_alt5                      70,700,000                                  70,258,533                                                -441,467   -0.62%   x 1.01 
 sherlock::name_alt5_nocase               339,435,200                                 359,465,733                                             20,030,533    5.90%   x 0.94 
 sherlock::name_holmes                    26,076,533                                  25,077,000                                                -999,533   -3.83%   x 1.04 
 sherlock::name_holmes_nocase             117,200,000                                 122,476,533                                              5,276,533    4.50%   x 0.96 
 sherlock::name_sherlock                  54,956,133                                  54,635,466                                                -320,667   -0.58%   x 1.01 
 sherlock::name_sherlock_holmes           17,911,066                                  17,401,533                                                -509,533   -2.84%   x 1.03 
 sherlock::name_sherlock_holmes_nocase    85,421,000                                  93,455,800                                               8,034,800    9.41%   x 0.91 
 sherlock::name_sherlock_nocase           83,926,200                                  91,088,600                                               7,162,400    8.53%   x 0.92 
 sherlock::name_whitespace                61,548,733                                  63,322,200                                               1,773,467    2.88%   x 0.97 
 sherlock::no_match_common                8,128,866                                   8,325,466                                                  196,600    2.42%   x 0.98 
 sherlock::no_match_really_common         212,832,533                                 215,865,466                                              3,032,933    1.43%   x 0.99 
 sherlock::no_match_uncommon              8,183,933                                   8,277,800                                                   93,867    1.15%   x 0.99 
 sherlock::quotes                         326,596,133                                 329,709,666                                              3,113,533    0.95%   x 0.99 
 sherlock::repeated_class_negation        57,307,025,600                              49,887,404,200                                      -7,419,621,400  -12.95%   x 1.15 
 sherlock::the_lower                      407,487,066                                 427,047,933                                             19,560,867    4.80%   x 0.95 
 sherlock::the_nocase                     468,528,533                                 499,773,733                                             31,245,200    6.67%   x 0.94 
 sherlock::the_upper                      28,653,000                                  28,017,666                                                -635,334   -2.22%   x 1.02 
 sherlock::the_whitespace                 746,980,800                                 755,537,733                                              8,556,933    1.15%   x 0.99 
 sherlock::word_ending_n                  1,420,224,400                               1,401,385,866                                          -18,838,534   -1.33%   x 1.01 
 sherlock::words                          6,257,791,466                               6,328,106,533                                           70,315,067    1.12%   x 0.99 
