 name                                     final-non-pgo-N-cgus/merged-timings.txt ns/iter  final-non-pgo-N-cgus-instr-limit/merged-timings.txt ns/iter    diff ns/iter   diff %  speedup 
 regexdna::variant5                       2,773,326,533                                    3,422,827,000                                                   649,500,467   23.42%   x 0.81 
 regexdna::variant6                       2,756,058,133                                    3,416,686,666                                                   660,628,533   23.97%   x 0.81 
 regexdna::variant7                       3,641,802,000                                    4,502,050,600                                                   860,248,600   23.62%   x 0.81 
 regexdna::variant8                       3,731,551,733                                    4,652,649,333                                                   921,097,600   24.68%   x 0.80 
 regexdna::variant9                       3,636,163,933                                    4,529,982,066                                                   893,818,133   24.58%   x 0.80 
 sherlock::before_after_holmes            821,507,333                                      812,601,400                                                      -8,905,933   -1.08%   x 1.01 
 sherlock::before_holmes                  53,596,866                                       54,270,000                                                          673,134    1.26%   x 0.99 
 sherlock::everything_greedy              1,888,173,800                                    1,784,138,266                                                  -104,035,534   -5.51%   x 1.06 
 sherlock::everything_greedy_nl           847,905,866                                      710,777,666                                                    -137,128,200  -16.17%   x 1.19 
 sherlock::holmes_cochar_watson           90,366,600                                       93,735,666                                                        3,369,066    3.73%   x 0.96 
 sherlock::holmes_coword_watson           422,891,866                                      422,887,400                                                          -4,466   -0.00%   x 1.00 
 sherlock::ing_suffix                     349,620,200                                      347,755,933                                                      -1,864,267   -0.53%   x 1.01 
 sherlock::ing_suffix_limited_space       966,519,466                                      948,486,600                                                     -18,032,866   -1.87%   x 1.02 
 sherlock::letters                        18,302,784,666                                   19,879,892,400                                                1,577,107,734    8.62%   x 0.92 
 sherlock::letters_lower                  17,973,436,066                                   19,128,009,333                                                1,154,573,267    6.42%   x 0.94 
 sherlock::letters_upper                  1,541,195,133                                    1,539,239,066                                                    -1,956,067   -0.13%   x 1.00 
 sherlock::line_boundary_sherlock_holmes  814,810,400                                      801,578,933                                                     -13,231,467   -1.62%   x 1.02 
 sherlock::name_alt1                      27,740,466                                       24,960,666                                                       -2,779,800  -10.02%   x 1.11 
 sherlock::name_alt2                      67,050,066                                       71,078,800                                                        4,028,734    6.01%   x 0.94 
 sherlock::name_alt3                      77,011,600                                       83,829,866                                                        6,818,266    8.85%   x 0.92 
 sherlock::name_alt3_nocase               364,209,066                                      554,457,000                                                     190,247,934   52.24%   x 0.66 
 sherlock::name_alt4                      98,512,000                                       101,766,466                                                       3,254,466    3.30%   x 0.97 
 sherlock::name_alt4_nocase               162,962,800                                      190,778,333                                                      27,815,533   17.07%   x 0.85 
 sherlock::name_alt5                      71,077,866                                       76,180,400                                                        5,102,534    7.18%   x 0.93 
 sherlock::name_alt5_nocase               352,595,866                                      525,720,666                                                     173,124,800   49.10%   x 0.67 
 sherlock::name_holmes                    27,488,000                                       25,817,733                                                       -1,670,267   -6.08%   x 1.06 
 sherlock::name_holmes_nocase             117,796,400                                      155,366,800                                                      37,570,400   31.89%   x 0.76 
 sherlock::name_sherlock                  62,632,066                                       56,680,133                                                       -5,951,933   -9.50%   x 1.11 
 sherlock::name_sherlock_holmes           20,959,533                                       18,156,666                                                       -2,802,867  -13.37%   x 1.15 
 sherlock::name_sherlock_holmes_nocase    83,998,600                                       112,364,333                                                      28,365,733   33.77%   x 0.75 
 sherlock::name_sherlock_nocase           82,141,066                                       109,833,000                                                      27,691,934   33.71%   x 0.75 
 sherlock::name_whitespace                67,980,266                                       66,923,400                                                       -1,056,866   -1.55%   x 1.02 
 sherlock::no_match_common                8,354,800                                        8,439,400                                                            84,600    1.01%   x 0.99 
 sherlock::no_match_really_common         229,076,733                                      220,687,600                                                      -8,389,133   -3.66%   x 1.04 
 sherlock::no_match_uncommon              8,395,600                                        8,302,200                                                           -93,400   -1.11%   x 1.01 
 sherlock::quotes                         338,735,333                                      330,076,666                                                      -8,658,667   -2.56%   x 1.03 
 sherlock::repeated_class_negation        61,183,233,533                                   75,684,939,733                                               14,501,706,200   23.70%   x 0.81 
 sherlock::the_lower                      454,021,000                                      431,104,066                                                     -22,916,934   -5.05%   x 1.05 
 sherlock::the_nocase                     478,895,800                                      645,794,533                                                     166,898,733   34.85%   x 0.74 
 sherlock::the_upper                      31,371,266                                       30,124,000                                                       -1,247,266   -3.98%   x 1.04 
 sherlock::the_whitespace                 808,392,066                                      816,870,866                                                       8,478,800    1.05%   x 0.99 
 sherlock::word_ending_n                  1,482,713,133                                    1,514,601,066                                                    31,887,933    2.15%   x 0.98 
 sherlock::words                          7,305,932,066                                    7,382,794,733                                                    76,862,667    1.05%   x 0.99 
