 name                                     final-non-pgo-1-cgu/merged-timings.txt ns/iter  final-pgo-1-cgu-instr-limit-use/merged-timings.txt ns/iter    diff ns/iter   diff %  speedup 
 sherlock::before_holmes                  52,556,133                                      47,477,066                                                      -5,079,067   -9.66%   x 1.11 
 sherlock::everything_greedy              1,894,350,266                                   1,781,519,533                                                 -112,830,733   -5.96%   x 1.06 
 sherlock::everything_greedy_nl           835,351,800                                     837,170,866                                                      1,819,066    0.22%   x 1.00 
 sherlock::holmes_cochar_watson           88,413,133                                      88,039,400                                                        -373,733   -0.42%   x 1.00 
 sherlock::holmes_coword_watson           418,853,200                                     418,881,600                                                         28,400    0.01%   x 1.00 
 sherlock::ing_suffix                     333,070,133                                     333,605,866                                                        535,733    0.16%   x 1.00 
 sherlock::ing_suffix_limited_space       947,092,733                                     937,792,000                                                     -9,300,733   -0.98%   x 1.01 
 sherlock::letters                        19,104,588,800                                  16,996,653,200                                              -2,107,935,600  -11.03%   x 1.12 
 sherlock::letters_lower                  18,647,082,333                                  16,613,432,266                                              -2,033,650,067  -10.91%   x 1.12 
 sherlock::letters_upper                  1,528,753,600                                   1,497,171,133                                                  -31,582,467   -2.07%   x 1.02 
 sherlock::line_boundary_sherlock_holmes  803,481,200                                     802,749,666                                                       -731,534   -0.09%   x 1.00 
 sherlock::name_alt1                      26,036,200                                      22,782,133                                                      -3,254,067  -12.50%   x 1.14 
 sherlock::name_alt2                      66,173,600                                      66,601,466                                                         427,866    0.65%   x 0.99 
 sherlock::name_alt3                      76,755,333                                      76,569,866                                                        -185,467   -0.24%   x 1.00 
 sherlock::name_alt3_nocase               423,896,400                                     354,015,600                                                    -69,880,800  -16.49%   x 1.20 
 sherlock::name_alt4                      95,470,066                                      95,376,266                                                         -93,800   -0.10%   x 1.00 
 sherlock::name_alt4_nocase               173,764,066                                     165,238,866                                                     -8,525,200   -4.91%   x 1.05 
 sherlock::name_alt5                      70,275,333                                      71,194,466                                                         919,133    1.31%   x 0.99 
 sherlock::name_alt5_nocase               388,049,333                                     384,487,133                                                     -3,562,200   -0.92%   x 1.01 
 sherlock::name_holmes                    26,495,933                                      25,347,466                                                      -1,148,467   -4.33%   x 1.05 
 sherlock::name_holmes_nocase             139,414,733                                     124,581,066                                                    -14,833,667  -10.64%   x 1.12 
 sherlock::name_sherlock                  59,222,266                                      59,107,000                                                        -115,266   -0.19%   x 1.00 
 sherlock::name_sherlock_holmes           18,305,866                                      17,039,800                                                      -1,266,066   -6.92%   x 1.07 
 sherlock::name_sherlock_holmes_nocase    98,214,933                                      96,679,666                                                      -1,535,267   -1.56%   x 1.02 
 sherlock::name_sherlock_nocase           96,736,066                                      94,430,133                                                      -2,305,933   -2.38%   x 1.02 
 sherlock::name_whitespace                64,601,066                                      65,828,133                                                       1,227,067    1.90%   x 0.98 
 sherlock::no_match_common                8,248,933                                       8,236,200                                                          -12,733   -0.15%   x 1.00 
 sherlock::no_match_really_common         219,991,866                                     221,903,066                                                      1,911,200    0.87%   x 0.99 
 sherlock::no_match_uncommon              8,305,666                                       8,283,533                                                          -22,133   -0.27%   x 1.00 
 sherlock::quotes                         324,576,600                                     325,665,600                                                      1,089,000    0.34%   x 1.00 
 sherlock::repeated_class_negation        61,199,460,000                                  56,371,568,000                                              -4,827,892,000   -7.89%   x 1.09 
 sherlock::the_lower                      441,333,533                                     437,440,866                                                     -3,892,667   -0.88%   x 1.01 
 sherlock::the_nocase                     494,965,000                                     512,088,400                                                     17,123,400    3.46%   x 0.97 
 sherlock::the_upper                      30,439,733                                      29,412,333                                                      -1,027,400   -3.38%   x 1.03 
 sherlock::the_whitespace                 804,842,733                                     764,478,266                                                    -40,364,467   -5.02%   x 1.05 
 sherlock::word_ending_n                  1,473,760,133                                   1,429,738,666                                                  -44,021,467   -2.99%   x 1.03 
 sherlock::words                          7,498,794,466                                   6,780,884,333                                                 -717,910,133   -9.57%   x 1.11 
