 name                                     non-pgo-timings/merged-timings.txt ns/iter  pgo-timings-no-preinline/merged-timings.txt ns/iter   diff ns/iter  diff %  speedup 
 regexdna::variant2                       3,088,901,150                               3,098,265,700                                            9,364,550   0.30%   x 1.00 
 regexdna::variant3                       3,762,518,400                               3,765,342,250                                            2,823,850   0.08%   x 1.00 
 regexdna::variant4                       3,774,379,100                               3,783,977,950                                            9,598,850   0.25%   x 1.00 
 regexdna::variant5                       2,472,236,400                               2,475,282,050                                            3,045,650   0.12%   x 1.00 
 regexdna::variant6                       2,462,432,450                               2,467,094,950                                            4,662,500   0.19%   x 1.00 
 regexdna::variant7                       3,309,003,350                               3,313,444,750                                            4,441,400   0.13%   x 1.00 
 regexdna::variant8                       3,346,806,150                               3,351,992,650                                            5,186,500   0.15%   x 1.00 
 regexdna::variant9                       3,304,693,250                               3,313,247,950                                            8,554,700   0.26%   x 1.00 
 sherlock::before_after_holmes            813,958,250                                 820,625,200                                              6,666,950   0.82%   x 0.99 
 sherlock::before_holmes                  51,054,250                                  51,296,000                                                 241,750   0.47%   x 1.00 
 sherlock::everything_greedy              1,571,781,400                               1,582,155,150                                           10,373,750   0.66%   x 0.99 
 sherlock::everything_greedy_nl           709,180,400                                 711,719,350                                              2,538,950   0.36%   x 1.00 
 sherlock::holmes_cochar_watson           87,483,050                                  87,326,700                                                -156,350  -0.18%   x 1.00 
 sherlock::holmes_coword_watson           419,389,150                                 420,207,100                                                817,950   0.20%   x 1.00 
 sherlock::ing_suffix                     304,843,150                                 304,281,350                                               -561,800  -0.18%   x 1.00 
 sherlock::ing_suffix_limited_space       943,087,800                                 943,504,850                                                417,050   0.04%   x 1.00 
 sherlock::letters                        16,418,444,550                              16,606,442,650                                         187,998,100   1.15%   x 0.99 
 sherlock::letters_lower                  16,041,458,400                              16,087,692,550                                          46,234,150   0.29%   x 1.00 
 sherlock::letters_upper                  1,441,976,600                               1,442,535,100                                              558,500   0.04%   x 1.00 
 sherlock::line_boundary_sherlock_holmes  809,531,400                                 811,033,250                                              1,501,850   0.19%   x 1.00 
 sherlock::name_alt1                      25,152,200                                  23,879,200                                              -1,273,000  -5.06%   x 1.05 
 sherlock::name_alt2                      65,097,350                                  65,502,350                                                 405,000   0.62%   x 0.99 
 sherlock::name_alt3                      74,949,550                                  75,461,800                                                 512,250   0.68%   x 0.99 
 sherlock::name_alt3_nocase               401,991,750                                 402,365,650                                                373,900   0.09%   x 1.00 
 sherlock::name_alt4                      94,396,550                                  94,963,800                                                 567,250   0.60%   x 0.99 
 sherlock::name_alt4_nocase               168,820,400                                 169,949,900                                              1,129,500   0.67%   x 0.99 
 sherlock::name_alt5                      69,376,750                                  69,859,100                                                 482,350   0.70%   x 0.99 
 sherlock::name_alt5_nocase               360,771,500                                 361,186,800                                                415,300   0.12%   x 1.00 
 sherlock::name_holmes                    24,734,900                                  24,858,600                                                 123,700   0.50%   x 1.00 
 sherlock::name_holmes_nocase             134,166,650                                 136,064,350                                              1,897,700   1.41%   x 0.99 
 sherlock::name_sherlock                  55,295,250                                  55,371,450                                                  76,200   0.14%   x 1.00 
 sherlock::name_sherlock_holmes           17,435,850                                  17,698,450                                                 262,600   1.51%   x 0.99 
 sherlock::name_sherlock_holmes_nocase    95,371,700                                  96,277,550                                                 905,850   0.95%   x 0.99 
 sherlock::name_sherlock_nocase           93,327,750                                  94,338,550                                               1,010,800   1.08%   x 0.99 
 sherlock::name_whitespace                62,079,100                                  62,519,200                                                 440,100   0.71%   x 0.99 
 sherlock::no_match_common                8,095,150                                   8,228,600                                                  133,450   1.65%   x 0.98 
 sherlock::no_match_really_common         211,422,600                                 214,200,500                                              2,777,900   1.31%   x 0.99 
 sherlock::no_match_uncommon              8,129,250                                   8,263,850                                                  134,600   1.66%   x 0.98 
 sherlock::quotes                         322,635,800                                 325,812,700                                              3,176,900   0.98%   x 0.99 
 sherlock::repeated_class_negation        56,507,139,100                              59,350,460,400                                       2,843,321,300   5.03%   x 0.95 
 sherlock::the_lower                      419,098,000                                 418,735,350                                               -362,650  -0.09%   x 1.00 
 sherlock::the_nocase                     468,526,500                                 471,399,400                                              2,872,900   0.61%   x 0.99 
 sherlock::the_upper                      28,585,100                                  28,712,150                                                 127,050   0.44%   x 1.00 
 sherlock::the_whitespace                 754,009,500                                 756,930,500                                              2,921,000   0.39%   x 1.00 
 sherlock::word_ending_n                  1,419,653,250                               1,430,193,450                                           10,540,200   0.74%   x 0.99 
 sherlock::words                          6,471,531,350                               6,366,652,550                                         -104,878,800  -1.62%   x 1.02 
