 name                                     non-pgo-timings-O3-nightly/merged-timings.txt ns/iter  pgo-timings-higher-threshold/merged-timings.txt ns/iter    diff ns/iter  diff %  speedup 
 sherlock::name_sherlock_holmes_nocase    82,473,640                                             80,949,500                                                   -1,524,140  -1.85%   x 1.02 
 sherlock::name_sherlock_nocase           79,750,600                                             78,975,700                                                     -774,900  -0.97%   x 1.01 
 sherlock::name_whitespace                64,207,320                                             62,613,900                                                   -1,593,420  -2.48%   x 1.03 
 sherlock::no_match_common                8,247,120                                              8,181,850                                                       -65,270  -0.79%   x 1.01 
 sherlock::no_match_really_common         217,147,000                                            212,994,500                                                  -4,152,500  -1.91%   x 1.02 
 sherlock::no_match_uncommon              8,300,080                                              8,173,550                                                      -126,530  -1.52%   x 1.02 
 sherlock::quotes                         326,576,360                                            322,176,900                                                  -4,399,460  -1.35%   x 1.01 
 sherlock::repeated_class_negation        56,369,529,800                                         54,843,062,750                                           -1,526,467,050  -2.71%   x 1.03 
 sherlock::the_lower                      421,369,040                                            419,639,000                                                  -1,730,040  -0.41%   x 1.00 
 sherlock::the_nocase                     454,419,800                                            446,481,300                                                  -7,938,500  -1.75%   x 1.02 
 sherlock::the_upper                      29,615,400                                             28,513,950                                                   -1,101,450  -3.72%   x 1.04 
 sherlock::the_whitespace                 758,835,640                                            749,324,400                                                  -9,511,240  -1.25%   x 1.01 
 sherlock::word_ending_n                  1,428,533,280                                          1,388,774,550                                               -39,758,730  -2.78%   x 1.03 
 sherlock::words                          6,524,643,760                                          6,407,395,600                                              -117,248,160  -1.80%   x 1.02 
