 name                                     non-pgo-timings/merged-timings.txt ns/iter  pgo-timings/merged-timings.txt ns/iter  diff ns/iter  diff %  speedup 
 sherlock::letters                        16,624,908,000                              16,858,014,000                           233,106,000   1.40%   x 0.99 
 sherlock::letters_lower                  16,164,698,500                              16,410,250,000                           245,551,500   1.52%   x 0.99 
 sherlock::letters_upper                  1,450,765,000                               1,462,386,500                             11,621,500   0.80%   x 0.99 
 sherlock::line_boundary_sherlock_holmes  803,797,000                                 820,381,000                               16,584,000   2.06%   x 0.98 
 sherlock::name_alt1                      23,470,500                                  23,611,000                                   140,500   0.60%   x 0.99 
 sherlock::name_alt2                      65,433,000                                  65,931,500                                   498,500   0.76%   x 0.99 
 sherlock::name_alt3                      74,766,500                                  76,014,000                                 1,247,500   1.67%   x 0.98 
 sherlock::name_alt3_nocase               353,681,000                                 351,890,000                               -1,791,000  -0.51%   x 1.01 
 sherlock::name_alt4                      95,913,500                                  95,545,000                                  -368,500  -0.38%   x 1.00 
 sherlock::name_alt4_nocase               155,997,000                                 154,724,000                               -1,273,000  -0.82%   x 1.01 
 sherlock::name_alt5                      69,519,000                                  70,653,000                                 1,134,000   1.63%   x 0.98 
 sherlock::name_alt5_nocase               323,954,000                                 320,389,500                               -3,564,500  -1.10%   x 1.01 
 sherlock::name_holmes                    25,068,000                                  29,072,000                                 4,004,000  15.97%   x 0.86 
 sherlock::name_holmes_nocase             111,877,000                                 111,179,500                                 -697,500  -0.62%   x 1.01 
 sherlock::name_sherlock                  57,121,500                                  56,173,000                                  -948,500  -1.66%   x 1.02 
 sherlock::name_sherlock_holmes           19,215,500                                  19,308,500                                    93,000   0.48%   x 1.00 
 sherlock::name_sherlock_holmes_nocase    81,851,000                                  82,163,500                                   312,500   0.38%   x 1.00 
 sherlock::name_sherlock_nocase           79,740,500                                  78,941,000                                  -799,500  -1.00%   x 1.01 
 sherlock::name_whitespace                63,996,500                                  65,625,500                                 1,629,000   2.55%   x 0.98 
 sherlock::no_match_common                8,329,000                                   8,471,000                                    142,000   1.70%   x 0.98 
 sherlock::no_match_really_common         217,130,500                                 221,736,000                                4,605,500   2.12%   x 0.98 
 sherlock::no_match_uncommon              8,218,000                                   8,113,000                                   -105,000  -1.28%   x 1.01 
 sherlock::quotes                         324,060,500                                 324,234,000                                  173,500   0.05%   x 1.00 
 sherlock::repeated_class_negation        55,828,027,000                              55,847,843,000                            19,816,000   0.04%   x 1.00 
 sherlock::the_lower                      425,221,000                                 432,489,500                                7,268,500   1.71%   x 0.98 
 sherlock::the_nocase                     449,790,000                                 450,467,000                                  677,000   0.15%   x 1.00 
 sherlock::the_upper                      30,120,500                                  29,015,000                                -1,105,500  -3.67%   x 1.04 
 sherlock::the_whitespace                 755,869,000                                 759,193,000                                3,324,000   0.44%   x 1.00 
 sherlock::word_ending_n                  1,423,322,500                               1,406,200,000                            -17,122,500  -1.20%   x 1.01 
 sherlock::words                          6,485,061,500                               6,536,081,500                             51,020,000   0.79%   x 0.99 
