 name                                     non-pgo-timings/merged-timings.txt ns/iter  pgo-timings-threshold-75/merged-timings.txt ns/iter   diff ns/iter  diff %  speedup 
 misc::anchored_literal_long_match        13,350                                      14,750                                                       1,400  10.49%   x 0.91 
 misc::anchored_literal_long_non_match    13,000                                      13,900                                                         900   6.92%   x 0.94 
 misc::anchored_literal_short_match       13,200                                      14,100                                                         900   6.82%   x 0.94 
 misc::anchored_literal_short_non_match   13,650                                      14,400                                                         750   5.49%   x 0.95 
 misc::easy0_1K                           10,000                                      10,550                                                         550   5.50%   x 0.95 
 misc::easy0_1MB                          11,900                                      11,900                                                           0   0.00%   x 1.00 
 misc::easy0_32                           10,000                                      10,150                                                         150   1.50%   x 0.99 
 misc::easy0_32K                          10,000                                      9,850                                                         -150  -1.50%   x 1.02 
 misc::easy1_1K                           34,000                                      35,050                                                       1,050   3.09%   x 0.97 
 misc::easy1_1MB                          35,400                                      37,000                                                       1,600   4.52%   x 0.96 
 misc::easy1_32                           34,350                                      35,100                                                         750   2.18%   x 0.98 
 misc::easy1_32K                          34,100                                      35,300                                                       1,200   3.52%   x 0.97 
 misc::hard_1K                            43,450                                      44,350                                                         900   2.07%   x 0.98 
 misc::hard_1MB                           45,200                                      46,350                                                       1,150   2.54%   x 0.98 
 misc::hard_32                            43,350                                      44,500                                                       1,150   2.65%   x 0.97 
 misc::hard_32K                           43,700                                      44,050                                                         350   0.80%   x 0.99 
 misc::is_match_set                       53,600                                      55,350                                                       1,750   3.26%   x 0.97 
 misc::literal                            9,150                                       9,600                                                          450   4.92%   x 0.95 
 misc::long_needle1                       894,150                                     924,650                                                     30,500   3.41%   x 0.97 
 misc::long_needle2                       511,276,450                                 488,847,750                                            -22,428,700  -4.39%   x 1.05 
 misc::match_class                        42,800                                      73,850                                                      31,050  72.55%   x 0.58 
 misc::match_class_in_range               9,800                                       11,300                                                       1,500  15.31%   x 0.87 
 misc::match_class_unicode                228,100                                     231,800                                                      3,700   1.62%   x 0.98 
 misc::matches_set                        428,850                                     455,750                                                     26,900   6.27%   x 0.94 
 misc::medium_1K                          11,000                                      11,600                                                         600   5.45%   x 0.95 
 misc::medium_1MB                         12,200                                      13,800                                                       1,600  13.11%   x 0.88 
 misc::medium_32                          11,050                                      11,400                                                         350   3.17%   x 0.97 
 misc::medium_32K                         11,050                                      11,450                                                         400   3.62%   x 0.97 
 misc::no_exponential                     294,600                                     301,300                                                      6,700   2.27%   x 0.98 
 misc::not_literal                        79,300                                      80,800                                                       1,500   1.89%   x 0.98 
 misc::one_pass_long_prefix               45,050                                      46,200                                                       1,150   2.55%   x 0.98 
 misc::one_pass_long_prefix_not           45,150                                      46,050                                                         900   1.99%   x 0.98 
 misc::one_pass_short                     33,200                                      33,850                                                         650   1.96%   x 0.98 
 misc::one_pass_short_not                 33,800                                      34,650                                                         850   2.51%   x 0.98 
 misc::reallyhard2_1K                     47,500                                      48,450                                                         950   2.00%   x 0.98 
 misc::reallyhard_1K                      1,437,800                                   1,447,000                                                    9,200   0.64%   x 0.99 
 misc::reallyhard_1MB                     1,428,490,550                               1,437,363,950                                            8,873,400   0.62%   x 0.99 
 misc::reallyhard_32                      90,100                                      91,800                                                       1,700   1.89%   x 0.98 
 misc::reallyhard_32K                     44,552,150                                  44,921,550                                                 369,400   0.83%   x 0.99 
 misc::replace_all                        139,750                                     147,050                                                      7,300   5.22%   x 0.95 
 misc::reverse_suffix_no_quadratic        3,717,900                                   6,657,050                                                2,939,150  79.05%   x 0.56 
 misc::short_haystack_1000000x            144,052,050                                 146,247,250                                              2,195,200   1.52%   x 0.98 
 misc::short_haystack_100000x             4,300,000                                   4,481,300                                                  181,300   4.22%   x 0.96 
