 name                                     non-pgo-timings/merged-timings.txt ns/iter  pgo-timings-no-preinline/merged-timings.txt ns/iter    diff ns/iter   diff %  speedup 
 sherlock::before_after_holmes            822,452,900                                 822,122,150                                                -330,750   -0.04%   x 1.00 
 sherlock::before_holmes                  51,690,400                                  50,028,150                                               -1,662,250   -3.22%   x 1.03 
 sherlock::everything_greedy              1,625,421,350                               1,630,003,650                                             4,582,300    0.28%   x 1.00 
 sherlock::everything_greedy_nl           716,570,200                                 750,656,050                                              34,085,850    4.76%   x 0.95 
 sherlock::holmes_cochar_watson           87,101,500                                  89,914,150                                                2,812,650    3.23%   x 0.97 
 sherlock::holmes_coword_watson           419,919,500                                 422,052,750                                               2,133,250    0.51%   x 0.99 
 sherlock::ing_suffix                     306,020,300                                 307,475,000                                               1,454,700    0.48%   x 1.00 
 sherlock::ing_suffix_limited_space       949,485,500                                 947,998,150                                              -1,487,350   -0.16%   x 1.00 
 sherlock::letters                        16,512,101,750                              16,620,489,000                                          108,387,250    0.66%   x 0.99 
 sherlock::letters_lower                  16,156,653,250                              16,259,887,550                                          103,234,300    0.64%   x 0.99 
 sherlock::letters_upper                  1,453,348,550                               1,471,687,350                                            18,338,800    1.26%   x 0.99 
 sherlock::line_boundary_sherlock_holmes  814,363,950                                 813,242,950                                              -1,121,000   -0.14%   x 1.00 
 sherlock::name_alt1                      23,712,300                                  24,863,350                                                1,151,050    4.85%   x 0.95 
 sherlock::name_alt2                      65,564,800                                  67,701,950                                                2,137,150    3.26%   x 0.97 
 sherlock::name_alt3                      75,576,100                                  78,262,200                                                2,686,100    3.55%   x 0.97 
 sherlock::name_alt3_nocase               404,968,600                                 379,504,200                                             -25,464,400   -6.29%   x 1.07 
 sherlock::name_alt4                      94,552,500                                  96,164,400                                                1,611,900    1.70%   x 0.98 
 sherlock::name_alt4_nocase               170,314,300                                 160,326,450                                              -9,987,850   -5.86%   x 1.06 
 sherlock::name_alt5                      69,279,000                                  72,120,450                                                2,841,450    4.10%   x 0.96 
 sherlock::name_alt5_nocase               363,732,500                                 345,869,800                                             -17,862,700   -4.91%   x 1.05 
 sherlock::name_holmes                    24,973,350                                  24,606,350                                                 -367,000   -1.47%   x 1.01 
 sherlock::name_holmes_nocase             135,470,250                                 116,499,050                                             -18,971,200  -14.00%   x 1.16 
 sherlock::name_sherlock                  55,498,950                                  54,591,550                                                 -907,400   -1.63%   x 1.02 
 sherlock::name_sherlock_holmes           17,639,700                                  17,558,150                                                  -81,550   -0.46%   x 1.00 
 sherlock::name_sherlock_holmes_nocase    95,928,850                                  86,763,900                                               -9,164,950   -9.55%   x 1.11 
 sherlock::name_sherlock_nocase           93,741,200                                  85,060,650                                               -8,680,550   -9.26%   x 1.10 
 sherlock::name_whitespace                62,155,000                                  63,433,200                                                1,278,200    2.06%   x 0.98 
 sherlock::no_match_common                8,185,950                                   8,129,850                                                   -56,100   -0.69%   x 1.01 
 sherlock::no_match_really_common         213,312,250                                 212,535,150                                                -777,100   -0.36%   x 1.00 
 sherlock::no_match_uncommon              8,177,150                                   8,073,350                                                  -103,800   -1.27%   x 1.01 
 sherlock::quotes                         325,202,550                                 327,002,350                                               1,799,800    0.55%   x 0.99 
 sherlock::repeated_class_negation        59,334,965,250                              57,110,212,600                                       -2,224,752,650   -3.75%   x 1.04 
 sherlock::the_lower                      421,319,000                                 414,920,750                                              -6,398,250   -1.52%   x 1.02 
 sherlock::the_nocase                     470,664,400                                 474,566,800                                               3,902,400    0.83%   x 0.99 
 sherlock::the_upper                      28,601,050                                  28,443,000                                                 -158,050   -0.55%   x 1.01 
 sherlock::the_whitespace                 758,273,500                                 759,892,650                                               1,619,150    0.21%   x 1.00 
 sherlock::word_ending_n                  1,444,626,600                               1,428,839,100                                           -15,787,500   -1.09%   x 1.01 
 sherlock::words                          6,444,175,200                               6,563,641,150                                           119,465,950    1.85%   x 0.98 
