 name                                     final-non-pgo-N-cgus/merged-timings.txt ns/iter  final-pgo-N-cgus-use/merged-timings.txt ns/iter   diff ns/iter   diff %  speedup 
 regexdna::variant9                       3,636,163,933                                    3,662,608,733                                       26,444,800    0.73%   x 0.99 
 sherlock::before_after_holmes            821,507,333                                      824,816,266                                          3,308,933    0.40%   x 1.00 
 sherlock::before_holmes                  53,596,866                                       53,313,400                                            -283,466   -0.53%   x 1.01 
 sherlock::everything_greedy              1,888,173,800                                    2,024,102,266                                      135,928,466    7.20%   x 0.93 
 sherlock::everything_greedy_nl           847,905,866                                      1,053,109,866                                      205,204,000   24.20%   x 0.81 
 sherlock::holmes_cochar_watson           90,366,600                                       89,018,600                                          -1,348,000   -1.49%   x 1.02 
 sherlock::holmes_coword_watson           422,891,866                                      422,271,200                                           -620,666   -0.15%   x 1.00 
 sherlock::ing_suffix                     349,620,200                                      353,351,200                                          3,731,000    1.07%   x 0.99 
 sherlock::ing_suffix_limited_space       966,519,466                                      953,607,400                                        -12,912,066   -1.34%   x 1.01 
 sherlock::letters                        18,302,784,666                                   18,182,760,200                                    -120,024,466   -0.66%   x 1.01 
 sherlock::letters_lower                  17,973,436,066                                   17,913,230,733                                     -60,205,333   -0.33%   x 1.00 
 sherlock::letters_upper                  1,541,195,133                                    1,540,791,800                                         -403,333   -0.03%   x 1.00 
 sherlock::line_boundary_sherlock_holmes  814,810,400                                      816,116,066                                          1,305,666    0.16%   x 1.00 
 sherlock::name_alt1                      27,740,466                                       22,651,933                                          -5,088,533  -18.34%   x 1.22 
 sherlock::name_alt2                      67,050,066                                       65,323,466                                          -1,726,600   -2.58%   x 1.03 
 sherlock::name_alt3                      77,011,600                                       75,190,066                                          -1,821,534   -2.37%   x 1.02 
 sherlock::name_alt3_nocase               364,209,066                                      353,443,000                                        -10,766,066   -2.96%   x 1.03 
 sherlock::name_alt4                      98,512,000                                       95,079,200                                          -3,432,800   -3.48%   x 1.04 
 sherlock::name_alt4_nocase               162,962,800                                      162,995,866                                             33,066    0.02%   x 1.00 
 sherlock::name_alt5                      71,077,866                                       69,425,266                                          -1,652,600   -2.33%   x 1.02 
 sherlock::name_alt5_nocase               352,595,866                                      347,686,866                                         -4,909,000   -1.39%   x 1.01 
 sherlock::name_holmes                    27,488,000                                       33,077,733                                           5,589,733   20.34%   x 0.83 
 sherlock::name_holmes_nocase             117,796,400                                      118,489,733                                            693,333    0.59%   x 0.99 
 sherlock::name_sherlock                  62,632,066                                       67,179,066                                           4,547,000    7.26%   x 0.93 
 sherlock::name_sherlock_holmes           20,959,533                                       24,935,800                                           3,976,267   18.97%   x 0.84 
 sherlock::name_sherlock_holmes_nocase    83,998,600                                       88,257,333                                           4,258,733    5.07%   x 0.95 
 sherlock::name_sherlock_nocase           82,141,066                                       86,185,600                                           4,044,534    4.92%   x 0.95 
 sherlock::name_whitespace                67,980,266                                       72,073,066                                           4,092,800    6.02%   x 0.94 
 sherlock::no_match_common                8,354,800                                        8,533,200                                              178,400    2.14%   x 0.98 
 sherlock::no_match_really_common         229,076,733                                      239,349,133                                         10,272,400    4.48%   x 0.96 
 sherlock::no_match_uncommon              8,395,600                                        8,524,200                                              128,600    1.53%   x 0.98 
 sherlock::quotes                         338,735,333                                      332,996,533                                         -5,738,800   -1.69%   x 1.02 
 sherlock::repeated_class_negation        61,183,233,533                                   62,794,359,733                                   1,611,126,200    2.63%   x 0.97 
 sherlock::the_lower                      454,021,000                                      462,658,400                                          8,637,400    1.90%   x 0.98 
 sherlock::the_nocase                     478,895,800                                      484,919,533                                          6,023,733    1.26%   x 0.99 
 sherlock::the_upper                      31,371,266                                       35,310,800                                           3,939,534   12.56%   x 0.89 
 sherlock::the_whitespace                 808,392,066                                      795,410,133                                        -12,981,933   -1.61%   x 1.02 
 sherlock::word_ending_n                  1,482,713,133                                    1,475,342,666                                       -7,370,467   -0.50%   x 1.00 
 sherlock::words                          7,305,932,066                                    7,035,049,600                                     -270,882,466   -3.71%   x 1.04 
